Bogazici University
Kandilli Observatory	
Istanbul
Turkey
                            FLARE INDEX OF SOLAR ACTIVITY	

                                 TOTAL HEMISPHERE	

2022	

------------------------------------------------------------------------------------------------------	
Day     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec 	
======================================================================================================	
1	0.58	0.06	0.23	0.31	0.25	2.19	0.63	0.60	0.00	2.69	0.19	2.42	
2	0.00	1.77	3.73	8.04	0.00	5.56	0.00	0.75	3.71	6.56	1.27	0.10	
3	0.00	0.48	0.02	0.42	1.31	0.00	0.19	1.75	4.35	57.85	1.63	0.13	
4	0.00	0.21	0.60	0.00	28.10	0.00	1.13	0.27	4.00	10.54	0.40	0.94	
5	0.00	0.08	1.25	0.25	5.04	0.00	1.77	1.29	3.23	1.06	0.00	5.27	
6	1.04	1.73	1.06	0.23	0.27	0.13	0.13	0.65	0.00	0.48	0.65	0.00	
7	0.50	0.67	0.06	0.46	0.17	0.15	1.15	0.00	0.79	11.88	0.00	1.44	
8	0.08	0.02	0.06	0.23	0.25	0.00	0.46	0.13	2.08	2.48	0.35	0.21	
9	0.00	0.79	0.00	0.00	0.44	0.10	1.73	0.00	1.50	4.06	0.92	0.00	
10	0.00	1.42	0.00	0.00	10.98	0.48	11.56	0.00	2.29	4.75	1.58	2.96	
11	0.10	0.08	0.63	1.92	12.31	0.00	12.83	0.42	7.75	0.88	4.48	3.40	
12	0.00	0.56	0.00	0.00	4.06	0.00	2.54	3.23	13.50	0.46	5.27	0.00	
13	0.08	0.10	0.29	0.00	1.52	14.21	3.94	2.42	6.56	0.31	21.35	3.04	
14	1.25	0.54	0.40	0.00	2.04	5.10	9.15	3.04	6.96	0.00	9.90	70.27	
15	3.63	0.02	1.98	0.00	0.17	0.77	8.73	14.40	3.73	0.40	2.04	43.29	
16	1.06	0.00	0.00	0.00	1.33	0.63	15.42	10.23	1.35	2.10	1.69	7.33	
17	0.63	0.29	0.00	1.41	0.15	7.35	3.71	10.46	0.21	1.44	1.42	11.42	
18	1.27	0.29	0.00	1.19	3.58	2.00	1.04	20.50	1.63	1.21	4.75	1.08	
19	0.00	0.00	0.02	1.08	20.75	12.29	1.79	6.75	2.54	0.19	2.88	4.08	
20	1.04	0.00	1.96	6.25	6.81	12.60	3.40	0.31	5.46	6.02	2.17	4.10	
21	0.00	0.00	0.00	4.08	1.65	4.31	2.10	0.92	1.19	0.00	1.73	7.60	
22	0.00	0.00	0.00	3.29	0.48	3.48	0.98	7.77	3.63	0.00	3.94	1.92	
23	0.00	0.10	0.44	0.90	1.79	0.00	2.52	1.00	13.29	0.00	1.13	2.52	
24	0.00	0.19	0.31	1.02	1.88	1.65	1.42	0.10	8.52	2.85	4.08	2.15	
25	0.00	0.00	3.71	1.88	3.02	1.90	0.00	42.96	1.56	0.04	0.40	12.65	
26	0.00	0.00	0.00	0.75	1.02	4.27	0.21	75.08	2.65	0.27	0.00	20.10	
27	0.33	0.15	0.06	6.69	1.29	1.02	0.00	30.31	4.13	0.00	0.00	32.88	
28	1.50	0.42	0.69	0.17	0.17	0.23	0.00	12.94	1.38	0.00	0.94	0.73	
29	2.90		37.79	1.77	0.85	0.40	6.88	7.21	0.19	0.00	0.71	3.48	
30	1.15		0.52	0.00	0.52	0.00	0.00	0.73	0.77	0.00	9.56	13.31	
31	2.27		6.17		0.00		0.00	2.77		0.00		4.52	
------------------------------------------------------------------------------------------------------	
Mean	0.63	0.36	2.00	1.41	3.62	2.69	3.08	8.35	15.74	3.82	2.85	8.49	
------------------------------------------------------------------------------------------------------	
Yearly Mean =	4.42												
													
